id,year,inCitations,author_id,author_name
cd4d8779af49bd48a5bc27fa5b9bebb9b36928ef,2013,2,1803537,Ernst Wit
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,1839258,Jia Zhang
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,1683825,Zheng Wang
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,7137586,Qian Li
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,2237163,Jialin Zhang
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,2232327,Yanyan Lan
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,1732461,Qiang Li
d05f31d63c740aaf74dce90b0996c47958af5985,2016,0,1810735,Xiaoming Sun
d13e69050f2a557dee7635112d6c9077a36d0cb7,2013,0,7336976,Michael Brand
d19c8830afc8fcf3f4614016f3ea608f11441f6b,2012,1,2142526,Valentin Goranko
d7ce3d5db6ab208467627c4c7ee2b658be2eac73,2016,0,1684993,Wengu Chen
d7ce3d5db6ab208467627c4c7ee2b658be2eac73,2016,0,3393858,Huanmin Ge
d7e619a4a2f19d27cf8def2b13736e084c79a609,2008,18,1729725,Philipp Mayr
d7e619a4a2f19d27cf8def2b13736e084c79a609,2008,18,1743834,Vivien Petras
d86d7c53f9bd664d07f1a271727048bea4041125,2016,0,1763470,Michael Breuß
d86d7c53f9bd664d07f1a271727048bea4041125,2016,0,1743422,Laurent Hoeltgen
d86d7c53f9bd664d07f1a271727048bea4041125,2016,0,2394455,Ali Sharifi Boroujerdi
